name,url,description,collection_date,data_completeness_score,license_count,licenses,rtp_count,avg_rtp,fairness_certifications,provider_count,providers,has_ssl,encryption,two_factor_auth,withdrawal_methods_count,withdrawal_methods,review_count,avg_rating
Shuffle,https://shuffle.com/,"Play the best crypto casino games at Shuffle VIP crypto casino. Play 10,000+ games, instant deposit, sportsbook, and the exclusive SHFL Lottery and more!",2025-11-22T02:51:25.405483+00:00,85.71428571428571,0,,6,94.5,"GLI, TST",4,"NetEnt, Microgaming, Evolution Gaming, Pragmatic Play",True,SSL/TLS,True,3,"Bank Transfer, Bitcoin, Cryptocurrency",1,3.0
Jmenichole is on Jemlit,https://jemlit.com/en/a/Jmenichole,"Unlock a 25% bonus on your initial deposit and 3 FREE Boxes by using the code JMLT25! Plus, remember to input the code Jmenichole every time you deposit to receive a generous 5% bonus on your funds forever!",2025-11-22T02:51:38.414963+00:00,42.857142857142854,0,,0,0,"GLI, TST",0,,True,SSL/TLS,False,1,Bitcoin,0,0
Roxy Moxy,https://roxymoxy.com/home?invite=f94f874427,,2025-11-22T02:51:40.328361+00:00,14.285714285714285,0,,0,0,,0,,True,,False,0,,0,0
Lucky Bits Vegas Casino,https://luckybitsvegas.com/gc/?adId=INV001%3Ajmenichole,"Play free Vegas style slots at Lucky Bits Vegas. Sweepstakes crypto casino with daily rewards, Game Coins, and Sweeps Coins redeemable for real prizes.",2025-11-22T02:51:41.994607+00:00,14.285714285714285,0,,0,0,,0,,True,SSL/TLS,False,0,,0,0
Roxy Moxy,https://roxymoxy.com/,,2025-11-22T02:51:43.777065+00:00,14.285714285714285,0,,0,0,,0,,True,,False,0,,0,0
Rollingriches,https://rollingriches.com/,,2025-11-22T02:51:45.949848+00:00,14.285714285714285,0,,0,0,,0,,True,,False,0,,0,0
RagingBull,https://ragingbull.com/,"Want to learn trading tips and secrets? If so, look no further than RagingBull- a perfect platform for both experienced traders and newbies. Learn to profit from troubled market conditions.",2025-11-22T02:51:48.335413+00:00,14.285714285714285,0,,0,0,,0,,True,SSL/TLS,False,0,,0,0
Social casino 2025,https://moonspin.com/,Discover our wide range of brand-new social casino games! ✅ No purchase necessary ✅ Provably Fair technology,2025-11-22T02:51:50.102160+00:00,42.857142857142854,0,,0,0,"GLI, TST",0,,True,SSL/TLS,True,5,"Visa, Skrill, Bank Transfer, Bitcoin, Cryptocurrency",0,0
Lunaland - Home,https://lunalandcasino.com/,"Start spinning at Lunaland Casino! Play sweepstakes slots and social casino games. Join for free, claim daily bonuses and rewards.",2025-11-22T02:51:53.415521+00:00,14.285714285714285,0,,0,0,,0,,True,SSL/TLS,False,0,,0,0
LuckyLand Casino,https://luckylandslots.com/,Fun social slots with cash prizes!,2025-11-22T02:51:54.792811+00:00,14.285714285714285,0,,0,0,,0,,True,,False,0,,0,0
